"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.362098138748","175.344129554656","168.781911013858","163.267359946327","164.559014267185","145.093647479869","140.376966126657","133.219390660592","132.792839573654","132.435753221011","145.065080492424","141.039787378421","139.971667014396","139.110532521124","137.565302997156","135.462773224044","154.430199068191","156.652659688101","161.88634036453","162.869695756605","145.822775263952","142.231960307059","143.81593495935","145.213284414233","145.343853742166","116.572795838124","137.164339884516","",
"Africa Eastern and Southern","AFE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0937131151244","41.343203893977","42.2033392715645","44.9411043239817","47.2569136640229","49.3199262350747","48.7479407354532","46.427172213616","47.2009930193113","45.416087818963","63.0931631131829","63.9269387924445","59.9822739270607","57.3405689817024","58.2515705294168","60.6306271274234","61.0276948907615","66.9986293812415","74.550127245806","63.9526352095291","63.7089782130433","64.7250042750209","62.4333303119259","62.5392613397567","60.9796969184689","55.5665459064337","52.9252918434756","52.5946694636977","55.8401168020552","52.9055567971312","49.1689379092968","54.1085774604649","54.6229243031001",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928994","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trade (% of GDP)","NE.TRD.GNFS.ZS","33.1099071867082","32.9605817964793","29.2682983252724","29.7736627285371","31.2575394349281","33.8083089160224","31.6917131392274","34.6630360368955","33.5459924019156","34.4768485510182","30.2505743392345","33.3075998150998","32.7069632284187","38.2442384901235","46.6092013664111","46.1962900084617","46.7158354645364","50.2712549701739","46.9421141013682","47.3280124066731","51.1537967613534","31.1631920367396","27.5605918824798","25.176542738919","25.7838282534862","27.6394862895662","24.9295455135114","31.2970102292217","28.478716211275","40.0841071200286","37.7270231412842","40.9935240904661","41.8539230934793","39.1065474395595","36.4030063736243","47.1116135523324","47.3046370282565","55.9515368108118","47.5031139361433","43.7990444202029","56.3713690871429","56.4377395937984","50.2527673568903","55.4477344273156","44.5858663611809","46.9014929909547","51.086073029951","49.8044114034505","51.0640510468965","47.1814143045349","53.313985514388","60.5645035304493","55.5452775905642","43.8091327958617","43.3696361235528","37.5573365534044","36.2615755854656","40.1543495796925","44.409083349376","45.6661179304775","29.7630782996781","36.2112307722267","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.547109454858","150.335794690093","105.301592311218","103.901229551372","103.579947051466","106.590962129525","94.6251593320477","108.060067893978","121.364708453698","122.446126209604","104.123648293074","99.9825063313368","91.8000973419114","86.8119327587926","79.3329227828897","62.8885160890192","53.3701580675988","52.2568271631211","66.3780133263399","57.8295381183036","55.3758162657937","62.0555205535326","",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.637304878056","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.895444716607","45.4255562530936","48.1375348189415","51.0110303565873","63.454073132628","66.4910240323437","68.5250682234387","67.0205610427628","67.0471873068205","70.8723467754672","74.2670902393052","83.2020801053931","77.4517514962857","75.0949144008056","76.5433902447878","81.218568933066","76.5102006210933","75.8737138467897","75.4078455964825","71.801006339647","74.809862823171","78.1942495319136","76.8081841283291","76.2791946495763","59.8297294321628","76.0179821075752","85.305313723096",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.8081337025986","60.3315302523784","63.1604915452324","83.3258362559105","74.6983896613643","83.3400888219534","77.2045253382336","81.639315527427","79.7764875088883","82.1062412411953","86.8069310687331","88.5686379702487","84.2629110189455","75.9975176107588","72.3248660234934","64.8755886211641","57.2107241682772","59.4624152426481","61.41125651672","66.2522527562487","65.9064945387443","69.2238518729379","64.370979255274","59.9644546019569","58.2241144065845","61.629830426169","61.1576984681505","69.4291848752538","67.8112390493685","67.8412543147018","72.341503146003","73.8883386140129","74.171405067331","80.9004942510258","85.3311856084994","89.4512271319436","89.7157166478832","93.811069277287","97.7356589012441","89.9109183016997","87.1434468067045","89.9669325804777","90.9823108037957","90.1835227440878","88.163229986063","84.0154394710516","78.0784684773381","82.0107420883612","81.6096857298956","81.3218722806421","73.0415130917347","60.4338346529679","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.552871642254","119.470669577786","136.798152865771","148.513544025723","153.461944358373","143.877475077001","151.665941869565","159.970470619225","161.100482455585","164.02950986361","169.476236698198","170.903087759947","172.803424990073","157.920573132687","167.383564922717","166.571899325291","","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.4926603729179","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846242519","16.942286567935","14.3237963724369","12.8406846411368","11.5456724606844","14.2929774788834","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588891","14.730980586353","16.223151447784","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","30.7625359549926","32.6306150458499","30.2197998857878","32.97948188967","32.0763277741992",
